index,timecode,seconds,frame_file,visual_change,screen_type,motion_observation,likely_production_method,replicable_with,notes_for_doubao_video
1,00:00,0.500,frames_change/001_0000_500_黑网格资料卡.jpg,资料卡、日期、红框/下划线变化,黑网格资料卡,卡片稳定，红线/红框约数百毫秒出现,AE/PR 模板 + 截图卡片,Remotion 固定模板,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
2,00:01,1.867,frames_change/002_0001_867_黑网格资料卡.jpg,资料卡、日期、红框/下划线变化,黑网格资料卡,卡片稳定，红线/红框约数百毫秒出现,AE/PR 模板 + 截图卡片,Remotion 固定模板,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
3,00:27,27.833,frames_change/003_0027_833_黑网格资料卡.jpg,资料卡、日期、红框/下划线变化,黑网格资料卡,卡片稳定，红线/红框约数百毫秒出现,AE/PR 模板 + 截图卡片,Remotion 固定模板,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
4,00:34,34.333,frames_change/004_0034_333_黑网格资料卡.jpg,资料卡、日期、红框/下划线变化,黑网格资料卡,卡片稳定，红线/红框约数百毫秒出现,AE/PR 模板 + 截图卡片,Remotion 固定模板,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
5,00:49,49.033,frames_change/005_0049_033_黑网格资料卡.jpg,资料卡、日期、红框/下划线变化,黑网格资料卡,卡片稳定，红线/红框约数百毫秒出现,AE/PR 模板 + 截图卡片,Remotion 固定模板,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
6,00:55,55.333,frames_change/006_0055_333_黑网格资料卡.jpg,资料卡、日期、红框/下划线变化,黑网格资料卡,卡片稳定，红线/红框约数百毫秒出现,AE/PR 模板 + 截图卡片,Remotion 固定模板,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
7,00:56,56.600,frames_change/007_0056_600_黑网格资料卡.jpg,资料卡、日期、红框/下划线变化,黑网格资料卡,卡片稳定，红线/红框约数百毫秒出现,AE/PR 模板 + 截图卡片,Remotion 固定模板,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
8,00:57,57.667,frames_change/008_0057_667_黑网格资料卡.jpg,资料卡、日期、红框/下划线变化,黑网格资料卡,卡片稳定，红线/红框约数百毫秒出现,AE/PR 模板 + 截图卡片,Remotion 固定模板,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
9,00:59,59.400,frames_change/009_0059_400_黑网格资料卡.jpg,资料卡、日期、红框/下划线变化,黑网格资料卡,卡片稳定，红线/红框约数百毫秒出现,AE/PR 模板 + 截图卡片,Remotion 固定模板,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
10,00:59,59.800,frames_change/010_0059_800_黑网格资料卡.jpg,资料卡、日期、红框/下划线变化,黑网格资料卡,卡片稳定，红线/红框约数百毫秒出现,AE/PR 模板 + 截图卡片,Remotion 固定模板,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
11,01:00,60.200,frames_change/011_0100_200_黑网格资料卡.jpg,资料卡、日期、红框/下划线变化,黑网格资料卡,卡片稳定，红线/红框约数百毫秒出现,AE/PR 模板 + 截图卡片,Remotion 固定模板,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
12,01:00,60.600,frames_change/012_0100_600_黑网格资料卡.jpg,资料卡、日期、红框/下划线变化,黑网格资料卡,卡片稳定，红线/红框约数百毫秒出现,AE/PR 模板 + 截图卡片,Remotion 固定模板,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
13,01:01,61.000,frames_change/013_0101_000_黑网格资料卡.jpg,资料卡、日期、红框/下划线变化,黑网格资料卡,卡片稳定，红线/红框约数百毫秒出现,AE/PR 模板 + 截图卡片,Remotion 固定模板,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
14,01:01,61.400,frames_change/014_0101_400_黑网格资料卡.jpg,资料卡、日期、红框/下划线变化,黑网格资料卡,卡片稳定，红线/红框约数百毫秒出现,AE/PR 模板 + 截图卡片,Remotion 固定模板,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
15,01:01,61.800,frames_change/015_0101_800_黑网格资料卡.jpg,资料卡、日期、红框/下划线变化,黑网格资料卡,卡片稳定，红线/红框约数百毫秒出现,AE/PR 模板 + 截图卡片,Remotion 固定模板,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
16,01:02,62.267,frames_change/016_0102_267_黑网格资料卡.jpg,资料卡、日期、红框/下划线变化,黑网格资料卡,卡片稳定，红线/红框约数百毫秒出现,AE/PR 模板 + 截图卡片,Remotion 固定模板,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
17,01:02,62.867,frames_change/017_0102_867_黑网格资料卡.jpg,资料卡、日期、红框/下划线变化,黑网格资料卡,卡片稳定，红线/红框约数百毫秒出现,AE/PR 模板 + 截图卡片,Remotion 固定模板,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
18,01:03,63.500,frames_change/018_0103_500_黑网格资料卡.jpg,资料卡、日期、红框/下划线变化,黑网格资料卡,卡片稳定，红线/红框约数百毫秒出现,AE/PR 模板 + 截图卡片,Remotion 固定模板,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
19,01:14,74.100,frames_change/019_0114_100_表格-商业模式标签.jpg,表格切换或大标签出现,表格/商业模式标签,标签弹出、表格保持稳定,表格截图 + 文字标签,D3/HTML 表格 + Remotion 标签,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
20,01:21,81.533,frames_change/020_0121_533_表格-商业模式标签.jpg,表格切换或大标签出现,表格/商业模式标签,标签弹出、表格保持稳定,表格截图 + 文字标签,D3/HTML 表格 + Remotion 标签,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
21,01:23,83.300,frames_change/021_0123_300_表格-商业模式标签.jpg,表格切换或大标签出现,表格/商业模式标签,标签弹出、表格保持稳定,表格截图 + 文字标签,D3/HTML 表格 + Remotion 标签,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
22,01:27,87.667,frames_change/022_0127_667_表格-商业模式标签.jpg,表格切换或大标签出现,表格/商业模式标签,标签弹出、表格保持稳定,表格截图 + 文字标签,D3/HTML 表格 + Remotion 标签,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
23,01:28,88.067,frames_change/023_0128_067_表格-商业模式标签.jpg,表格切换或大标签出现,表格/商业模式标签,标签弹出、表格保持稳定,表格截图 + 文字标签,D3/HTML 表格 + Remotion 标签,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
24,01:28,88.833,frames_change/024_0128_833_表格-商业模式标签.jpg,表格切换或大标签出现,表格/商业模式标签,标签弹出、表格保持稳定,表格截图 + 文字标签,D3/HTML 表格 + Remotion 标签,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
25,01:30,90.133,frames_change/025_0130_133_表格-商业模式标签.jpg,表格切换或大标签出现,表格/商业模式标签,标签弹出、表格保持稳定,表格截图 + 文字标签,D3/HTML 表格 + Remotion 标签,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
26,01:32,92.967,frames_change/026_0132_967_表格-商业模式标签.jpg,表格切换或大标签出现,表格/商业模式标签,标签弹出、表格保持稳定,表格截图 + 文字标签,D3/HTML 表格 + Remotion 标签,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
27,01:35,95.267,frames_change/027_0135_267_表格-商业模式标签.jpg,表格切换或大标签出现,表格/商业模式标签,标签弹出、表格保持稳定,表格截图 + 文字标签,D3/HTML 表格 + Remotion 标签,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
28,01:44,104.767,frames_change/028_0144_767_表格-商业模式标签.jpg,表格切换或大标签出现,表格/商业模式标签,标签弹出、表格保持稳定,表格截图 + 文字标签,D3/HTML 表格 + Remotion 标签,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
29,01:48,108.667,frames_change/029_0148_667_表格-商业模式标签.jpg,表格切换或大标签出现,表格/商业模式标签,标签弹出、表格保持稳定,表格截图 + 文字标签,D3/HTML 表格 + Remotion 标签,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
30,01:52,112.233,frames_change/030_0152_233_表格-商业模式标签.jpg,表格切换或大标签出现,表格/商业模式标签,标签弹出、表格保持稳定,表格截图 + 文字标签,D3/HTML 表格 + Remotion 标签,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
31,01:55,115.300,frames_change/031_0155_300_表格-商业模式标签.jpg,表格切换或大标签出现,表格/商业模式标签,标签弹出、表格保持稳定,表格截图 + 文字标签,D3/HTML 表格 + Remotion 标签,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
32,02:00,120.367,frames_change/032_0200_367_表格-商业模式标签.jpg,表格切换或大标签出现,表格/商业模式标签,标签弹出、表格保持稳定,表格截图 + 文字标签,D3/HTML 表格 + Remotion 标签,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
33,02:04,124.733,frames_change/033_0204_733_表格-商业模式标签.jpg,表格切换或大标签出现,表格/商业模式标签,标签弹出、表格保持稳定,表格截图 + 文字标签,D3/HTML 表格 + Remotion 标签,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
34,02:07,127.533,frames_change/034_0207_533_堆叠截图-舆论证据.jpg,截图层叠、网页或评论卡片切换,堆叠截图/舆论证据,每次新增一张卡或红框，节奏较快,截图叠层 + 红框,Remotion 层叠卡片,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
35,02:12,132.367,frames_change/035_0212_367_堆叠截图-舆论证据.jpg,截图层叠、网页或评论卡片切换,堆叠截图/舆论证据,每次新增一张卡或红框，节奏较快,截图叠层 + 红框,Remotion 层叠卡片,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
36,02:17,137.167,frames_change/036_0217_167_堆叠截图-舆论证据.jpg,截图层叠、网页或评论卡片切换,堆叠截图/舆论证据,每次新增一张卡或红框，节奏较快,截图叠层 + 红框,Remotion 层叠卡片,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
37,02:27,147.867,frames_change/037_0227_867_堆叠截图-舆论证据.jpg,截图层叠、网页或评论卡片切换,堆叠截图/舆论证据,每次新增一张卡或红框，节奏较快,截图叠层 + 红框,Remotion 层叠卡片,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
38,02:32,152.033,frames_change/038_0232_033_堆叠截图-舆论证据.jpg,截图层叠、网页或评论卡片切换,堆叠截图/舆论证据,每次新增一张卡或红框，节奏较快,截图叠层 + 红框,Remotion 层叠卡片,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
39,02:35,155.933,frames_change/039_0235_933_堆叠截图-舆论证据.jpg,截图层叠、网页或评论卡片切换,堆叠截图/舆论证据,每次新增一张卡或红框，节奏较快,截图叠层 + 红框,Remotion 层叠卡片,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
40,02:36,156.367,frames_change/040_0236_367_堆叠截图-舆论证据.jpg,截图层叠、网页或评论卡片切换,堆叠截图/舆论证据,每次新增一张卡或红框，节奏较快,截图叠层 + 红框,Remotion 层叠卡片,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
41,02:36,156.967,frames_change/041_0236_967_堆叠截图-舆论证据.jpg,截图层叠、网页或评论卡片切换,堆叠截图/舆论证据,每次新增一张卡或红框，节奏较快,截图叠层 + 红框,Remotion 层叠卡片,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
42,02:37,157.367,frames_change/042_0237_367_堆叠截图-舆论证据.jpg,截图层叠、网页或评论卡片切换,堆叠截图/舆论证据,每次新增一张卡或红框，节奏较快,截图叠层 + 红框,Remotion 层叠卡片,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
43,02:37,157.767,frames_change/043_0237_767_堆叠截图-舆论证据.jpg,截图层叠、网页或评论卡片切换,堆叠截图/舆论证据,每次新增一张卡或红框，节奏较快,截图叠层 + 红框,Remotion 层叠卡片,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
44,02:38,158.667,frames_change/044_0238_667_堆叠截图-舆论证据.jpg,截图层叠、网页或评论卡片切换,堆叠截图/舆论证据,每次新增一张卡或红框，节奏较快,截图叠层 + 红框,Remotion 层叠卡片,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
45,02:39,159.033,frames_change/045_0239_033_堆叠截图-舆论证据.jpg,截图层叠、网页或评论卡片切换,堆叠截图/舆论证据,每次新增一张卡或红框，节奏较快,截图叠层 + 红框,Remotion 层叠卡片,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
46,02:39,159.733,frames_change/046_0239_733_堆叠截图-舆论证据.jpg,截图层叠、网页或评论卡片切换,堆叠截图/舆论证据,每次新增一张卡或红框，节奏较快,截图叠层 + 红框,Remotion 层叠卡片,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
47,02:40,160.533,frames_change/047_0240_533_堆叠截图-舆论证据.jpg,截图层叠、网页或评论卡片切换,堆叠截图/舆论证据,每次新增一张卡或红框，节奏较快,截图叠层 + 红框,Remotion 层叠卡片,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
48,02:41,161.000,frames_change/048_0241_000_堆叠截图-舆论证据.jpg,截图层叠、网页或评论卡片切换,堆叠截图/舆论证据,每次新增一张卡或红框，节奏较快,截图叠层 + 红框,Remotion 层叠卡片,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
49,02:41,161.400,frames_change/049_0241_400_堆叠截图-舆论证据.jpg,截图层叠、网页或评论卡片切换,堆叠截图/舆论证据,每次新增一张卡或红框，节奏较快,截图叠层 + 红框,Remotion 层叠卡片,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
50,02:41,161.800,frames_change/050_0241_800_堆叠截图-舆论证据.jpg,截图层叠、网页或评论卡片切换,堆叠截图/舆论证据,每次新增一张卡或红框，节奏较快,截图叠层 + 红框,Remotion 层叠卡片,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
51,02:42,162.200,frames_change/051_0242_200_堆叠截图-舆论证据.jpg,截图层叠、网页或评论卡片切换,堆叠截图/舆论证据,每次新增一张卡或红框，节奏较快,截图叠层 + 红框,Remotion 层叠卡片,可作为豆包视频同类镜头的画面节奏参考，不直接搬用原素材。
